zone_id,zone_name,country,division
FI,Finland,Finland,Northern Europe
SE,Sweden,Sweden,Northern Europe
NO-NO1,Norway-1,Norway,Northern Europe
NO-NO2,Norway-2,Norway,Northern Europe
NO-NO3,Norway-3,Norway,Northern Europe
NO-NO4,Norway-4,Norway,Northern Europe
NO-NO5,Norway-5,Norway,Northern Europe
DK-DK1,West Denmark,Denmark,Northern Europe
DK-DK2,East Denmark,Denmark,Northern Europe
FR,France,France,Central Europe
DE,Germany,Germany,Central Europe
GB,UK,UK,Central Europe
GR,Greece,Greece,Southern Europe
HU,Hungary,Hungary,Central Europe
PT,Portugal,Portugal,Southern Europe
ES,Spain,Spain,Southern Europe
IT-CNO,Italy-Central-North,Italy,Southern Europe
IT-CSO,Italy-Central-South,Italy,Southern Europe
IT-NO,Italy-North,Italy,Southern Europe
IT-SAR,Italy-Sardinia,Italy,Southern Europe
IT-SIC,Italy-Sicily,Italy,Southern Europe
IT-SO,Italy-South,Italy,Southern Europe